NDVI,NDWI,NDBI,ICE,Clase
0.8148148,-0.7261118,-0.3053613,0.35379344,2
0.80650914,-0.71042633,-0.30038512,0.35128483,2
0.82023376,-0.71417725,-0.348865,0.37194094,2
0.84578216,-0.732099,-0.39246657,0.39421126,2
0.8416239,-0.7373737,-0.34725848,0.37751475,2
0.8217307,-0.7209588,-0.36319378,0.3756317,2
0.8283713,-0.70448977,-0.36070383,0.38149884,2
0.8262477,-0.70934254,-0.32751092,0.36950862,2
0.8358663,-0.7055264,-0.35730338,0.38401887,2
0.8476923,-0.7077853,-0.3957002,0.40099916,2
0.8481318,-0.7212348,-0.37724552,0.3929926,2
0.8445903,-0.72105885,-0.34986055,0.38304156,2
0.8513397,-0.7136,-0.34252584,0.38570762,2
0.8378847,-0.7341513,-0.30381304,0.363256,2
0.83684415,-0.7091946,-0.35864022,0.3841752,2
0.8651363,-0.7339113,-0.39916587,0.40553567,2
0.8449612,-0.7137714,-0.36136135,0.38813475,2
0.83726233,-0.71712863,-0.36535746,0.38481268,2
0.86912066,-0.7523566,-0.41888747,0.40975526,2
0.8618958,-0.75140244,-0.44682926,0.41471618,2
0.8339549,-0.7051095,-0.3463977,0.37987486,2
0.834339,-0.70409375,-0.3431517,0.37929627,2
0.8287293,-0.6963485,-0.36688605,0.38516074,2
0.80914515,-0.6961789,-0.3307336,0.36455688,2
0.802005,-0.6922624,-0.3537303,0.3686691,2
0.75425065,-0.6411938,-0.28687155,0.33494803,2
0.7068174,-0.6225655,-0.27074292,0.31011847,2
0.7171357,-0.6394558,-0.27210346,0.31230775,2
0.7048935,-0.63116515,-0.24665391,0.3002099,2
0.6861895,-0.62113315,-0.25410056,0.29509827,2
0.69781023,-0.61864996,-0.25289524,0.3010437,2
0.6429354,-0.5783935,-0.19776417,0.26511824,2
0.61917806,-0.5501639,-0.22138982,0.26597318,2
0.5410914,-0.49299362,-0.1692231,0.2227139,2
0.47889557,-0.46771654,-0.1663121,0.19579811,1
0.39777386,-0.39328468,-0.11417231,0.1544817,1
0.30115533,-0.28336287,-0.14375988,0.13703306,1
0.2561829,-0.2354291,-0.12003329,0.11701562,1
0.24202128,-0.19539249,-0.13971934,0.12384794,1
0.26344085,-0.21656601,-0.13973932,0.13032901,1
0.2738796,-0.2218845,-0.13869499,0.1341714,1
0.24440543,-0.1861146,-0.14216673,0.12762982,1
0.23204179,-0.18162839,-0.14112903,0.122033924,1
0.25336927,-0.21780881,-0.1502783,0.12820636,1
0.29369456,-0.24045977,-0.13385165,0.13891082,1
0.28951183,-0.2496487,-0.1504959,0.13997495,1
0.28671327,-0.24789523,-0.1504959,0.13892636,1
0.3025767,-0.26924917,-0.16429041,0.14672564,1
0.3381295,-0.29972547,-0.15502329,0.15562664,1
0.34425363,-0.325,-0.1644353,0.15645741,1
0.35627857,-0.3298181,-0.16020702,0.16023777,1
0.3388558,-0.292031,-0.1959764,0.16981463,1
0.36902887,-0.31088212,-0.20004602,0.18235181,1
0.43628013,-0.37699506,-0.20767467,0.20504345,2
0.47878063,-0.4350348,-0.20228405,0.21306856,2
0.4948391,-0.45551285,-0.21250923,0.22006975,2
0.4986226,-0.42948905,-0.20978503,0.226349,2
0.4904045,-0.3906336,-0.22792508,0.23545304,2
0.43711224,-0.35351926,-0.23240629,0.21757415,2
0.4082026,-0.3378661,-0.20817098,0.19897936,1
0.3922652,-0.32666492,-0.20100084,0.19109987,1
0.83631593,-0.7251737,-0.30573463,0.3648436,2
0.8587849,-0.7496136,-0.37629178,0.3923573,2
0.8528745,-0.7528265,-0.37324375,0.38784507,2
0.83585215,-0.71652174,-0.3098872,0.3675879,2
0.8165257,-0.7135843,-0.33631143,0.3664394,2
0.8383272,-0.71796936,-0.35796177,0.38295826,2
0.8424963,-0.70430005,-0.36563876,0.39007977,2
0.85058975,-0.69915766,-0.37845755,0.3990006,2
0.85193086,-0.7297728,-0.3888,0.39665085,2
0.8509737,-0.7307997,-0.40918615,0.40208277,2
0.8250277,-0.71666664,-0.2852408,0.35475278,2
0.78571427,-0.72031075,-0.26041877,0.32692063,2
0.79513186,-0.70520234,-0.32114202,0.35286808,2
0.82046384,-0.7033444,-0.26603416,0.34937328,2
0.80947196,-0.6907426,-0.2643591,0.34589517,2
0.81424147,-0.70101595,-0.28579265,0.35265535,2
0.83724135,-0.71834016,-0.34341908,0.37797835,2
0.84230053,-0.7179931,-0.34941396,0.38237584,2
0.82051283,-0.71178085,-0.23992856,0.33987883,2
0.8165345,-0.71459115,-0.28913,0.35208803,2
0.83076537,-0.69424963,-0.3439644,0.3797221,2
0.83210605,-0.709574,-0.3010284,0.36444676,2
0.82877314,-0.71416754,-0.34786144,0.3759115,2
0.8341374,-0.73489785,-0.30649647,0.36203808,2
0.8450579,-0.74778575,-0.32332748,0.36997005,2
0.8316742,-0.7306541,-0.32939243,0.36852401,2
0.82672393,-0.7260143,-0.27819017,0.35161614,2
0.8298385,-0.74208355,-0.30222985,0.3571715,2
0.8345289,-0.73928815,-0.30698466,0.36150223,2
0.8391986,-0.7344961,-0.26367807,0.35180348,2
0.831216,-0.7170815,-0.31852335,0.3677487,2
0.8241206,-0.6975838,-0.33292535,0.37242115,2
0.7757311,-0.6845784,-0.27766734,0.33425006,2
0.8070588,-0.72934026,-0.31506848,0.3521819,2
0.8360656,-0.75645757,-0.31129476,0.3601297,2
0.8276016,-0.7509628,-0.3518335,0.3691583,2
0.8323567,-0.71319675,-0.29399064,0.36173618,2
0.831256,-0.70535713,-0.31226382,0.3682357,2
0.8503185,-0.70568806,-0.39789474,0.40339005,2
0.85724586,-0.7099237,-0.42477876,0.41407183,2
0.8544396,-0.7083473,-0.42028984,0.4116373,2
0.8476382,-0.732705,-0.37317,0.3892291,2
0.85172415,-0.7153124,-0.34375978,0.38592753,2
0.8411004,-0.7505368,-0.32898638,0.36913875,2
0.8465991,-0.73457944,-0.3854506,0.39201885,2
0.85915494,-0.7343066,-0.36062992,0.39090514,2
0.7893986,-0.7136353,-0.25529432,0.32856053,2
0.77578473,-0.7079004,-0.31960014,0.34219232,2
0.8319764,-0.7286695,-0.40376958,0.39138517,2
0.8508093,-0.74634796,-0.39744952,0.3953699,2
0.8526634,-0.7219101,-0.36754045,0.3922118,2
0.85379905,-0.7269373,-0.35455862,0.38787964,2
0.8362491,-0.7027904,-0.36293986,0.38644844,2
0.81946677,-0.6988602,-0.3469679,0.37405172,2
0.8145211,-0.7008865,-0.3683,0.37757325,2
0.7405366,-0.6484511,-0.26141962,0.31900394,2
0.6582302,-0.60171306,-0.23619336,0.27963048,2
0.6370714,-0.5965293,-0.23111235,0.26856354,2
0.6795252,-0.5977417,-0.24293165,0.29309374,2
0.6774658,-0.5969842,-0.2536992,0.29544583,2
0.6634544,-0.5875486,-0.23602313,0.28502443,2
0.5938267,-0.5620488,-0.20243451,0.24523395,2
0.5516243,-0.5299715,-0.23092626,0.23909573,2
0.50078297,-0.4578643,-0.17985965,0.21277651,2
0.43887532,-0.4011905,-0.17128997,0.19058655,1
0.33151284,-0.3228432,-0.12479816,0.13862723,1
0.2569227,-0.24285714,-0.15819836,0.12734942,1
0.23209429,-0.2128514,-0.12476723,0.11090703,1
0.24531668,-0.20656872,-0.13796617,0.12273445,1
0.2567015,-0.2201147,-0.13024823,0.12340228,1
0.2691426,-0.24181247,-0.13060349,0.12538986,1
0.27239653,-0.22343682,-0.13555194,0.13217649,1
0.25760287,-0.20119607,-0.13800082,0.12996246,1
0.270027,-0.224295,-0.15584682,0.13690855,1
0.29981026,-0.26617375,-0.14142887,0.13909905,1
0.3076367,-0.262913,-0.1588386,0.14888734,1
0.32480314,-0.25853202,-0.15486915,0.15715592,1
0.33937106,-0.2844391,-0.16575432,0.162524,1
0.32995695,-0.2996783,-0.15912601,0.15278062,1
0.3285787,-0.30465233,-0.17649713,0.15630803,1
0.3773635,-0.31536114,-0.17239034,0.17732662,1
0.41515476,-0.33266333,-0.20806286,0.20346357,2
0.44359255,-0.36403623,-0.20516631,0.21053892,2
0.50059736,-0.40610132,-0.20958228,0.2319531,2
0.48233163,-0.42178446,-0.19838847,0.21632546,2
0.47476578,-0.43529412,-0.20821986,0.21279003,2
0.52036756,-0.46603662,-0.21636854,0.23188701,2
0.55832815,-0.4746163,-0.22301102,0.2511441,2
0.51549804,-0.42501414,-0.22679658,0.24078517,2
0.4706393,-0.3886916,-0.20516771,0.21913163,2
0.43931133,-0.37199125,-0.19870952,0.20487027,2
0.3606383,-0.31078658,-0.15498364,0.16465692,1
0.2990291,-0.24871676,-0.17691039,0.15284432,1
0.28289473,-0.23921925,-0.15580016,0.14034356,1
0.2908103,-0.26481482,-0.15615743,0.13928941,1
0.29722092,-0.26330274,-0.14475735,0.13937712,1
0.2993276,-0.2587601,-0.15320507,0.1438733,1
0.30556813,-0.26048952,-0.16255164,0.14945166,1
0.3254384,-0.27968338,-0.1669173,0.15685771,1
0.3553563,-0.31441647,-0.17922398,0.16856205,1
0.40014738,-0.3462447,-0.17550011,0.18347478,1
0.4313974,-0.3685742,-0.18671152,0.19799732,1
0.41380164,-0.35193944,-0.19282137,0.19435935,1
0.41489887,-0.31831762,-0.25294888,0.21967058,2
0.7868217,-0.71574783,-0.23633926,0.32116306,2
0.7410845,-0.6771765,-0.23343138,0.30513638,2
0.7630747,-0.68479776,-0.24130844,0.31697032,2
0.82472116,-0.73169154,-0.31560808,0.3607047,2
0.8369061,-0.7323885,-0.33183783,0.3715267,2
0.82019764,-0.7159736,-0.29848692,0.35645017,2
0.8044511,-0.71238726,-0.2776204,0.3430342,2
0.8238636,-0.7320144,-0.2954431,0.35416186,2
0.8311874,-0.71505135,-0.29401854,0.360789,2
0.8452861,-0.7243976,-0.36228436,0.38644883,2
0.8427948,-0.74236166,-0.32620993,0.37078804,2
0.84753764,-0.7235158,-0.32409346,0.3762937,2
0.84190065,-0.7425419,-0.3406697,0.37464285,2
0.83760685,-0.7179385,-0.3618369,0.3837668,2
0.85092634,-0.7263412,-0.36143243,0.38862467,2
